EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification
0404.568.093,1,2008,47512,MAIN
0404.568.093,1,2008,14130,SECO
0404.568.093,1,2003,52410,MAIN
0404.568.093,1,2003,18221,SECO
0404.568.093,1,2003,18222,SECO
0404.571.063,6,2008,47716,MAIN
0404.571.063,1,2008,82990,MAIN
0404.571.063,1,2008,47716,SECO
0404.571.063,1,2003,51410,MAIN
0404.571.063,1,2003,51442,SECO
0404.571.063,1,2003,52410,SECO
0404.571.063,1,2003,52431,SECO
0404.571.063,6,2003,52421,MAIN
0404.595.611,6,2008,68203,MAIN
0404.595.611,1,2008,71111,MAIN
0404.595.611,1,2008,68321,SECO
0404.595.611,1,2003,51190,MAIN
0404.595.611,1,2003,70111,SECO
0404.595.611,1,2003,74142,SECO
0404.595.611,1,2003,74151,SECO
0404.616.494,6,2008,64200,MAIN
0404.616.494,1,2008,64200,MAIN
0404.616.494,1,2003,65231,MAIN
0404.616.494,1,2003,74151,SECO
0404.616.494,6,2003,74151,MAIN
0404.635.203,6,2008,46731,MAIN
0404.635.203,1,2008,46731,MAIN
0404.635.203,1,2008,47521,SECO
0404.635.203,1,2003,51532,MAIN
0404.635.203,1,2003,52461,SECO
0404.635.203,6,2003,51532,MAIN
0404.642.923,6,2008,46693,MAIN
0404.642.923,1,2008,68201,MAIN
0404.642.923,1,2008,68203,SECO
0404.642.923,1,2003,70201,MAIN
0404.642.923,1,2003,70203,SECO
0404.673.607,6,2008,72110,MAIN
0404.673.607,1,2008,74909,MAIN
0404.673.607,1,2008,86901,SECO
0404.676.278,1,2008,43341,MAIN
0404.676.278,1,2008,43310,SECO
0404.676.278,1,2008,43320,SECO
0404.676.278,1,2008,43331,SECO
0404.676.278,1,2008,43332,SECO
0404.676.278,1,2008,46472,SECO
0404.676.278,1,2008,46473,SECO
0404.676.278,1,2008,46733,SECO
0404.676.278,1,2008,81210,SECO
0404.676.278,1,2008,81220,SECO
0404.676.278,1,2008,81290,SECO
0404.676.278,1,2003,45441,MAIN
0404.678.357,6,2008,41203,MAIN
0404.678.357,1,2008,41201,MAIN
0404.678.357,1,2008,68100,SECO
0404.678.357,1,2003,45211,MAIN
0404.678.357,1,2003,70120,SECO
0404.678.357,6,2003,45213,MAIN
0404.707.061,1,2008,68201,MAIN
0404.707.061,1,2008,73200,SECO
0404.707.754,6,2008,56101,MAIN
0404.707.754,1,2008,56301,MAIN
0404.707.754,1,2003,55401,MAIN
0404.707.754,6,2003,55401,MAIN
0404.712.407,6,2008,41102,MAIN
0404.712.407,6,2003,70112,MAIN
0404.716.662,1,2008,93110,MAIN
0404.716.662,1,2003,92611,MAIN
0404.744.772,1,2008,68311,MAIN
0404.744.772,1,2003,70311,MAIN
0404.747.445,6,2008,94110,MAIN
0404.747.445,1,2008,94110,MAIN
0404.747.445,6,2003,91110,MAIN
0404.748.435,6,2008,85314,MAIN
0404.748.435,6,2003,80214,MAIN
0404.754.373,6,2008,47640,MAIN
0404.754.373,1,2008,47789,MAIN
0404.754.373,1,2003,51900,MAIN
0404.754.373,6,2003,52482,MAIN
0404.759.323,6,2008,78200,MAIN
0404.759.323,1,2008,52241,MAIN
0404.759.323,1,2003,74502,MAIN
0404.759.323,6,2003,74502,MAIN
0404.759.719,1,2008,56290,MAIN
0404.759.719,1,2003,55521,MAIN
0404.759.818,6,2008,86905,MAIN
0404.759.818,1,2008,47716,MAIN
0404.759.818,1,2008,46900,SECO
0404.759.818,1,2008,78100,SECO
0404.759.818,1,2003,52421,MAIN
0404.759.818,1,2003,51900,SECO
0404.759.818,1,2003,74501,SECO
0404.759.818,6,2003,85143,MAIN
0404.766.053,1,2008,18120,MAIN
0404.766.053,1,2003,22220,MAIN
0404.766.152,1,2008,68311,MAIN
0404.766.152,1,2003,22220,MAIN
0404.777.139,6,2008,46491,MAIN
0404.777.139,1,2008,59203,MAIN
0404.777.139,1,2008,58110,SECO
0404.777.139,1,2003,22140,MAIN
0404.777.139,1,2003,22110,SECO
0404.777.139,6,2003,51472,MAIN
0404.779.119,6,2008,47410,MAIN
0404.779.119,1,2008,47620,MAIN
0404.779.119,1,2003,52470,MAIN
0404.779.119,6,2003,52487,MAIN
0404.796.440,6,2008,52290,MAIN
0404.796.440,1,2008,52290,MAIN
0404.796.440,1,2008,52220,SECO
0404.796.440,1,2003,74601,MAIN
0404.796.440,6,2003,63403,MAIN
0404.798.915,1,2008,18120,MAIN
0404.798.915,1,2003,22210,MAIN
0404.803.467,1,2008,68100,MAIN
0404.803.467,1,2003,17402,MAIN
0404.807.922,6,2008,94120,MAIN
0404.807.922,1,2008,82990,MAIN
0404.807.922,1,2003,74879,MAIN
0404.807.922,6,2003,91120,MAIN
0404.812.474,1,2008,47730,MAIN
0404.812.474,1,2003,52310,MAIN
0404.815.048,6,2008,46331,MAIN
0404.815.048,1,2008,46331,MAIN
0404.815.048,1,2003,51331,MAIN
0404.815.048,6,2003,51331,MAIN
0404.815.345,6,2008,68100,MAIN
0404.815.345,1,2008,68311,MAIN
0404.824.154,1,2008,70100,MAIN
0404.824.154,1,2003,70311,MAIN
0404.837.913,1,2008,68311,MAIN
0404.837.913,1,2008,68201,SECO
0404.837.913,1,2003,15860,MAIN
0404.837.913,1,2003,51392,SECO
0404.839.297,1,2008,68203,MAIN
0404.839.297,1,2003,51310,MAIN
0404.850.383,6,2008,46370,MAIN
0404.850.383,1,2008,46370,MAIN
0404.850.383,1,2003,51370,MAIN
0404.850.383,6,2003,51370,MAIN
0404.859.885,6,2008,46319,MAIN
0404.859.885,1,2008,46319,MAIN
0404.859.885,1,2003,51310,MAIN
0404.859.885,6,2003,51310,MAIN
0404.883.938,1,2008,47630,MAIN
0404.883.938,1,2008,47430,SECO
0404.883.938,1,2003,52450,MAIN
0404.883.938,1,2003,51430,SECO
0404.891.460,6,2008,47782,MAIN
0404.891.460,1,2008,47782,MAIN
0404.891.460,1,2008,74201,SECO
0404.891.460,1,2003,52485,MAIN
0404.891.460,6,2003,52485,MAIN
0404.897.497,6,2008,47530,MAIN
0404.897.497,1,2008,47512,MAIN
0404.897.497,1,2003,52410,MAIN
0404.897.497,6,2003,52442,MAIN
0404.900.566,1,2008,46120,MAIN
0404.900.566,1,2003,51310,MAIN
0404.900.962,6,2008,64200,MAIN
0404.900.962,1,2008,64200,MAIN
0404.900.962,1,2008,27900,SECO
0404.900.962,1,2008,33200,SECO
0404.900.962,1,2008,46696,SECO
0404.900.962,1,2003,51810,MAIN
0404.900.962,1,2003,52498,SECO
0404.901.655,6,2008,62020,MAIN
0404.901.655,1,2008,62010,MAIN
0404.901.655,1,2003,72220,MAIN
0404.901.655,6,2003,72100,MAIN
0404.928.577,6,2008,46731,MAIN
0404.928.577,1,2008,46720,MAIN
0404.928.577,1,2003,51520,MAIN
0404.928.577,6,2003,51532,MAIN
0404.936.891,1,2008,45113,MAIN
0404.936.891,1,2003,50200,MAIN
0404.936.891,1,2003,50103,SECO
0404.956.192,6,2008,46720,MAIN
0404.956.192,1,2008,46720,MAIN
0404.956.192,1,2008,46620,SECO
0404.956.192,1,2008,46731,SECO
0404.956.192,1,2008,47521,SECO
0404.956.192,1,2003,51520,MAIN
0404.956.192,1,2003,51532,SECO
0404.956.192,1,2003,51810,SECO
0404.956.192,1,2003,52461,SECO
0404.956.192,6,2003,51520,MAIN
0404.961.142,6,2008,68321,MAIN
0404.961.142,1,2008,68201,MAIN
0404.961.142,1,2008,68100,SECO
0404.961.142,1,2008,68203,SECO
0404.961.142,1,2003,70112,MAIN
0404.989.054,6,2008,47770,MAIN
0404.989.054,1,2008,47770,MAIN
0404.989.054,1,2003,52484,MAIN
0404.989.054,6,2003,52484,MAIN
0405.752.780,6,2008,56101,MAIN
0405.752.780,1,2008,56102,MAIN
0405.752.780,1,2003,55302,MAIN
0405.752.780,6,2003,55301,MAIN
0405.801.082,6,2008,46732,MAIN
0405.801.082,1,2008,46732,MAIN
0405.801.082,1,2003,51531,MAIN
0405.801.082,6,2003,51531,MAIN
0405.940.545,6,2008,46423,MAIN
0405.940.545,1,2008,46422,MAIN
0405.940.545,1,2003,51421,MAIN
0405.940.545,6,2003,51421,MAIN
0406.005.376,1,2008,52290,MAIN
0406.005.376,1,2003,63401,MAIN
0406.067.041,6,2008,70220,MAIN
0406.067.041,1,2008,68201,MAIN
0406.067.041,1,2008,70220,SECO
0406.067.041,1,2003,74142,MAIN
0406.067.041,6,2003,74142,MAIN
0406.134.644,6,2008,47721,MAIN
0406.134.644,1,2008,47721,MAIN
0406.134.644,1,2008,47722,SECO
0406.134.644,1,2003,52431,MAIN
0406.134.644,1,2003,52432,SECO
0406.134.644,6,2003,52431,MAIN
0406.140.087,6,2008,52290,MAIN
0406.140.087,1,2008,49410,MAIN
0406.140.087,1,2003,60242,MAIN
0406.140.087,6,2003,63402,MAIN
0406.308.056,6,2008,52290,MAIN
0406.308.056,1,2008,52290,MAIN
0406.308.056,1,2003,63401,MAIN
0406.308.056,6,2003,74151,MAIN
0406.370.513,6,2008,47750,MAIN
0406.370.513,1,2008,47750,MAIN
0406.370.513,1,2008,47715,SECO
0406.370.513,1,2008,47910,SECO
0406.370.513,1,2008,68203,SECO
0406.370.513,1,2008,96022,SECO
0406.370.513,1,2003,52330,MAIN
0406.370.513,6,2003,52330,MAIN
0406.391.002,6,2008,68322,MAIN
0406.391.002,1,2008,81100,MAIN
0406.391.002,1,2008,68311,SECO
0406.391.002,1,2003,70322,MAIN
0406.391.002,1,2003,70311,SECO
0406.391.002,6,2003,70322,MAIN
0406.447.420,1,2008,68203,MAIN
0406.447.420,1,2008,70220,SECO
0406.447.420,1,2008,73110,SECO
0406.447.420,1,2003,74401,MAIN
0406.464.642,6,2008,68203,MAIN
0406.464.642,6,2003,70321,MAIN
0406.483.547,6,2008,52290,MAIN
0406.483.547,1,2008,52290,MAIN
0406.483.547,1,2008,52241,SECO
0406.483.547,1,2003,63112,MAIN
0406.493.346,1,2008,68203,MAIN
0406.493.346,1,2008,47512,SECO
0406.493.346,1,2008,64200,SECO
0406.493.346,1,2008,70100,SECO
0406.493.346,1,2008,70220,SECO
0406.493.346,1,2003,52410,MAIN
0406.493.346,1,2003,52421,SECO
0406.675.963,6,2008,94110,MAIN
0406.675.963,1,2008,94120,MAIN
0406.675.963,1,2003,91120,MAIN
0406.675.963,6,2003,91110,MAIN
0406.692.492,6,2008,94991,MAIN
0406.692.492,6,2003,91330,MAIN
0406.696.056,6,2008,94110,MAIN
0406.696.056,1,2008,94110,MAIN
0406.696.056,1,2003,91110,MAIN
0406.696.056,6,2003,91110,MAIN
0406.696.749,6,2008,52290,MAIN
0406.696.749,1,2008,52249,MAIN
0406.696.749,1,2003,63112,MAIN
0406.696.749,6,2003,63401,MAIN
0406.715.456,6,2008,52210,MAIN
0406.715.456,1,2008,52210,MAIN
0406.715.456,1,2003,63210,MAIN
0406.715.456,6,2003,63210,MAIN
0406.716.347,6,2008,52290,MAIN
0406.716.347,1,2008,50200,MAIN
0406.716.347,1,2003,61100,MAIN
0406.716.347,6,2003,63403,MAIN
0406.726.146,6,2008,85314,MAIN
0406.726.146,1,2008,85314,MAIN
0406.726.146,6,2003,80214,MAIN
0406.822.849,1,2008,46761,MAIN
0406.822.849,1,2003,51561,MAIN
0406.865.807,1,2008,52290,MAIN
0406.865.807,1,2003,63403,MAIN
0406.920.344,1,2008,46180,MAIN
0406.920.344,1,2008,74209,SECO
0406.920.344,1,2003,51430,MAIN
0406.940.338,6,2008,46720,MAIN
0406.940.338,1,2008,46720,MAIN
0406.940.338,1,2003,51520,MAIN
0406.940.338,6,2003,51520,MAIN
0407.048.028,1,2008,77110,MAIN
0407.048.028,1,2003,71100,MAIN
0407.139.583,6,2008,82110,MAIN
0407.139.583,1,2008,82110,MAIN
0407.139.583,1,2003,74854,MAIN
0407.139.583,6,2003,74854,MAIN
0407.164.131,1,2008,52210,MAIN
0407.164.131,1,2003,63210,MAIN
0407.198.377,6,2008,85314,MAIN
0407.198.377,6,2003,80214,MAIN
0407.614.586,1,2008,46392,MAIN
0407.614.586,1,2003,51392,MAIN
0407.621.615,6,2008,84309,MAIN
0407.621.615,1,2008,69201,MAIN
0407.621.615,1,2003,74122,MAIN
0407.621.615,6,2003,75303,MAIN
0407.625.771,6,2008,82110,MAIN
0407.625.771,1,2008,69201,MAIN
0407.625.771,1,2003,74122,MAIN
0407.625.771,6,2003,74854,MAIN
0407.661.108,6,2008,47770,MAIN
0407.661.108,1,2008,47770,MAIN
0407.661.108,1,2008,46480,SECO
0407.661.108,1,2003,52484,MAIN
0407.661.108,1,2003,51474,SECO
0407.661.108,6,2003,52484,MAIN
0407.723.365,6,2008,90041,MAIN
0407.723.365,1,2008,90041,MAIN
0407.723.365,1,2008,47789,SECO
0407.723.365,1,2008,56301,SECO
0407.723.365,1,2003,92313,MAIN
0407.723.365,1,2003,52498,SECO
0407.723.365,1,2003,55401,SECO
0407.723.365,6,2003,92321,MAIN
0407.869.261,1,2008,64200,MAIN
0407.869.261,1,2008,82110,SECO
0407.897.272,1,2008,90032,MAIN
0407.897.965,6,2008,94910,MAIN
0407.897.965,1,2008,94910,MAIN
0407.897.965,1,2008,56309,SECO
0407.897.965,6,2003,91310,MAIN
0408.068.013,1,2008,56301,MAIN
0408.068.013,1,2003,55401,MAIN
0408.130.369,6,2008,94992,MAIN
0408.130.369,6,2003,85323,MAIN
0408.140.861,6,2008,94910,MAIN
0408.140.861,6,2003,91310,MAIN
0408.167.288,6,2008,84309,MAIN
0408.195.103,6,2008,52290,MAIN
0408.195.103,1,2008,52290,MAIN
0408.195.103,1,2008,52100,SECO
0408.195.103,1,2008,52230,SECO
0408.195.103,1,2003,63230,MAIN
0408.195.103,6,2003,63401,MAIN
0408.499.464,6,2008,87901,MAIN
0408.499.464,6,2003,85313,MAIN
0408.664.265,6,2008,94999,MAIN
0408.678.222,1,2008,68204,MAIN
0408.678.222,1,2008,56102,SECO
0408.678.222,1,2003,70204,MAIN
0408.678.222,1,2003,55302,SECO
0409.063.153,6,2008,85592,MAIN
0409.063.153,1,2008,85592,MAIN
0409.063.153,6,2003,80421,MAIN
0409.431.258,6,2008,94910,MAIN
0409.431.258,6,2003,91310,MAIN
0409.798.274,6,2008,85314,MAIN
0409.798.274,6,2003,80214,MAIN
0409.920.713,6,2008,94991,MAIN
0409.920.713,6,2003,91330,MAIN
0410.000.192,1,2008,58190,MAIN
0410.000.192,1,2008,47620,SECO
0410.000.192,1,2008,47770,SECO
0410.000.192,1,2008,47990,SECO
0410.000.192,1,2003,22150,MAIN
0410.000.192,1,2003,52470,SECO
0410.000.192,1,2003,52484,SECO
0410.000.192,1,2003,52630,SECO
0410.057.701,6,2008,72190,MAIN
0410.057.701,1,2008,72190,MAIN
0410.057.701,1,2008,75000,SECO
0410.057.701,1,2008,85429,SECO
0410.057.701,1,2008,86103,SECO
0410.057.701,1,2008,86901,SECO
0410.057.701,1,2003,73100,MAIN
0410.057.701,1,2003,85120,SECO
0410.057.701,6,2003,73100,MAIN
0410.147.870,6,2008,94910,MAIN
0410.147.870,6,2003,91310,MAIN
0410.336.922,6,2008,72200,MAIN
0410.336.922,6,2003,73200,MAIN
0410.494.694,6,2008,94910,MAIN
0410.494.694,6,2003,91310,MAIN
0410.515.282,6,2008,85429,MAIN
0410.515.282,6,2003,80421,MAIN
0410.606.938,1,2008,91030,MAIN
0410.606.938,1,2003,92520,MAIN
0410.677.907,6,2008,88101,MAIN
0410.677.907,1,2008,88101,MAIN
0410.677.907,1,2008,63990,SECO
0410.677.907,6,2003,85323,MAIN
0410.682.657,6,2008,84309,MAIN
0410.682.657,1,2008,84301,MAIN
0410.682.657,6,2003,75303,MAIN
0410.719.180,6,2008,85204,MAIN
0410.719.180,6,2003,80214,MAIN
0410.745.312,6,2008,85591,MAIN
0410.745.312,1,2008,85591,MAIN
0410.811.826,6,2008,94110,MAIN
0410.811.826,1,2008,94120,MAIN
0410.811.826,1,2003,91120,MAIN
0410.811.826,6,2003,91110,MAIN
0410.958.217,6,2008,70220,MAIN
0410.958.217,1,2008,70220,MAIN
0410.958.217,1,2008,62010,SECO
0410.958.217,1,2008,63990,SECO
0410.958.217,1,2008,73110,SECO
