EntityNumber,TypeOfAddress,CountryNL,CountryFR,Zipcode,MunicipalityNL,MunicipalityFR,StreetNL,StreetFR,HouseNumber,Box,ExtraAddressInfo,DateStrikingOff,FullAddress,Latitude,Longitude
0890.352.211,REGO,,,2060,Antwerpen,Antwerpen,Halenstraat,Halenstraat,35,1,,,"Halenstraat 35, 2060 Antwerpen, Belgium",51.22711475,4.435496957344862
0890.353.595,REGO,,,2060,Antwerpen,Antwerpen,Gasstraat,Gasstraat,96,,,,"Gasstraat 96, 2060 Antwerpen, Belgium",51.22471555,4.425587494105526
0890.378.341,REGO,,,2060,Antwerpen,Antwerpen,Handelstraat,Handelstraat,29,,,,"Handelstraat 29, 2060 Antwerpen, Belgium",51.2236084,4.4284039312227055
0890.389.031,REGO,,,2060,Antwerpen,Antwerpen,Rupelstraat,Rupelstraat,2,,,,"Rupelstraat 2, 2060 Antwerpen, Belgium",51.231165000000004,4.429385552503066
0890.538.192,REGO,,,2060,Antwerpen,Antwerpen,Sint-Elisabethstraat,Sint-Elisabethstraat,61,,,,"Sint-Elisabethstraat 61, 2060 Antwerpen, Belgium",51.223069800000005,4.4240282139293665
0890.567.787,REGO,,,2060,Antwerpen,Antwerpen,Constitutiestraat,Constitutiestraat,88,,,,"Constitutiestraat 88, 2060 Antwerpen, Belgium",51.21823825,4.428372172358687
0890.771.784,REGO,,,2060,Antwerpen,Antwerpen,Lange Beeldekensstraat,Lange Beeldekensstraat,51,,,26-08-2023,"Lange Beeldekensstraat 51, 2060 Antwerpen, Belgium",51.2214948,4.4239623597689075
0890.841.268,REGO,,,2060,Antwerpen,Antwerpen,Van de Wervestraat,Van de Wervestraat,8,18,,,"Van de Wervestraat 8, 2060 Antwerpen, Belgium",51.229186999999996,4.415167079659872
0890.898.280,REGO,,,2060,Antwerpen,Antwerpen,Onderwijsstraat,Onderwijsstraat,29,,,20-06-2011,"Onderwijsstraat 29, 2060 Antwerpen, Belgium",51.22545565,4.434141437583335
0890.984.986,REGO,,,2060,Antwerpen,Antwerpen,Lange Lobroekstraat,Lange Lobroekstraat,203,,,,"Lange Lobroekstraat 203, 2060 Antwerpen, Belgium",51.2312765,4.427670690611903
0891.159.982,REGO,,,2060,Antwerpen,Antwerpen,Diepestraat,Diepestraat,121,,,,"Diepestraat 121, 2060 Antwerpen, Belgium",51.22273945,4.426172289230772
0891.414.558,REGO,,,2060,Antwerpen,Antwerpen,Diepestraat,Diepestraat,51,,,11-03-2009,"Diepestraat 51, 2060 Antwerpen, Belgium",51.22401275,4.423871653739153
0891.503.739,REGO,,,2060,Antwerpen,Antwerpen,Gemeentestraat,Gemeentestraat,22,,,,"Gemeentestraat 22, 2060 Antwerpen, Belgium",51.21895735,4.420011139629225
0891.532.641,REGO,,,2060,Antwerpen,Antwerpen,Van Wesenbekestraat,Van Wesenbekestraat,17,,,,"Van Wesenbekestraat 17, 2060 Antwerpen, Belgium",51.219755500000005,4.4204214127293096
