EntityNumber,omzet
0671.980.564,92768.88
0674.670.632,134245.5
0675.505.327,49398.6
0676.665.268,637796.69
0676.703.969,3650221.37
0676.782.856,254819.36
0678.817.183,104454.81
0679.621.392,114130.44
0679.636.438,2940.34
0680.436.489,23455.32
0680.620.393,28494.37
0682.735.092,142467.58
0683.555.931,267810
0683.603.342,86056.77
0683.664.413,6057.76
0683.669.262,34782.53
0683.791.305,63094.44
0684.504.551,443014.19
0684.573.045,43060.68
0684.652.427,31764.72
0684.879.980,17406313.88
0684.963.124,347976.92
0684.994.796,106476.37
0685.377.056,4810.65
0685.431.395,29101.89
0685.571.551,55445.71
0685.586.595,66945.66
0685.759.316,111003.7
0686.544.323,1131396.44
0687.589.052,704755.88
0687.743.064,4618400.33
0688.851.240,464452.87
0689.871.324,1042474.69
0689.944.568,11526.81
0689.990.197,56567.48
0690.688.104,8167
0690.741.651,4255.72
0690.813.016,1170107.83
0690.829.545,85994.82
0690.920.607,1733.86
0691.871.405,63748.95
0692.986.905,62610.11
0694.543.061,17153.98
0694.603.835,148403.59
0694.917.304,43592.55
0695.512.962,89456.19
0696.611.141,14413.33
0696.648.852,108549.59
0697.916.978,184134.07
0698.965.469,110880.37
0699.623.584,2040.07
0700.732.552,98402.87
0700.816.090,102964.39
0703.955.229,115402.79
0704.575.633,74433.13
0704.635.912,1314.99
0704.831.296,40282.29
0704.858.517,22436.96
0705.891.962,1
0707.603.815,74880.37
0707.637.467,15934.91
0707.645.484,174837.61
0707.798.805,5290.87
0707.867.396,44317.15
0708.928.557,606315.44
0711.727.996,747560.74
0711.798.767,231434.09
0712.502.612,27065.88
0712.663.156,792163
0712.846.763,88925
0712.946.733,16699.98
0712.947.525,118890.73
0712.957.324,2009.54
0713.593.366,216779.30
0713.615.439,250004.07
0713.699.967,811536.72
0713.818.050,98493.42
0713.870.807,47127.31
0713.952.167,37768.58
0715.517.431,118687.67
0715.903.847,31658.99
0715.948.783,39894.2
0715.959.374,1527386
0716.738.344,3302152.39
0716.772.491,3162442.61
0716.799.712,22371978.37
0716.952.833,93420.57
0717.555.817,26082.23
0717.562.052,82690.13
0717.691.716,5659.27
0717.753.676,3710475.90
0718.615.491,2699442.22
0719.267.470,43603.82
0719.381.890,104014.93
0719.522.937,25108.6
0719.549.463,339502.29
0719.634.288,713301.51
0719.909.353,13381.56
0719.914.994,191814.43
0720.646.355,372646.85
0720.663.676,389990.26
0720.917.163,174062.70
0721.744.039,169092.58
0721.918.144,47.53
0722.612.584,3480.47
0722.709.980,850.84
0722.838.060,102404.66
0722.886.362,158562.5
0723.907.436,215294.06
0724.843.683,1409794.28
0725.572.965,299245.76
0726.354.212,346953.12
0726.513.568,76941.68
0726.746.665,8428.28
0727.508.512,243262.77
0727.931.451,25031.41
0728.514.639,1662771.92
0728.562.743,24598.41
0728.661.327,105248.26
0728.803.758,58788.34
0728.845.429,23259.96
0728.870.371,3543219.77
0728.870.569,46113.17
0728.885.714,63503.63
0729.719.122,29518.89
0729.784.349,37428.24
0729.788.111,49019.03
0729.803.749,70876.82
0729.828.394,75825.67
0729.851.259,661788.49
0730.639.335,159502.54
0730.717.133,187870
0730.997.047,66091.04
0731.621.906,29598.75
0731.637.445,116811.21
0731.729.297,1733178.7
0731.791.259,761675.49
0731.911.124,103115.97
0731.916.963,9078.73
0732.511.138,58004.62
0733.606.545,14645169.91
0733.631.784,255164.86
0733.826.972,520373.47
0733.851.817,1864063.79
0735.392.434,20980.33
0735.400.352,310274.51
0735.479.140,36019
0735.647.703,89554.75
0735.818.046,1068357.11
0736.463.293,39935.31
0736.497.640,9621.75
0736.640.467,3902795.07
0736.640.863,218142.81
0736.668.379,41529.06
0736.758.649,381878.22
0736.788.541,38447.68
0736.821.403,31516.61
0736.836.249,31869.96
0736.889.303,844677.75
0737.373.214,349.48
0737.681.436,31862.59
0737.731.520,185018.30
0737.740.032,64379.24
0738.567.403,78057.19
0738.721.514,48724.57
0738.855.532,104264.91
0738.904.131,34082.79
0739.541.460,9540.08
0739.617.377,109465.27
0739.712.793,445609.03
0739.782.277,11551.69
0739.841.863,5950920.14
0739.910.159,47350.45
0740.572.432,113060.41
0740.835.421,251940.49
0740.898.470,84565
0740.930.243,652864.49
0741.412.174,133022.63
0741.615.973,17572.35
0741.619.933,127002.14
0741.712.973,32521.18
0741.722.475,128900.55
0741.728.613,19007.02
0741.801.263,13679.63
0742.511.244,309532.83
0742.653.279,1377351.73
0742.911.122,17547.02
0743.458.676,16262.44
0743.598.139,9110.56
0743.792.040,109782.44
0743.906.757,17775.68
0743.920.516,1161350.59
0744.481.928,163716.3
0744.581.106,89055.02
0744.662.268,3006.84
0744.786.289,163818.96
0744.906.550,18786.49
0744.911.401,35755.79
0745.427.182,70361.73
0745.607.425,53616.19
0745.778.758,316168.28
0746.373.527,328344.08
0746.383.029,636913.51
0746.516.750,49663.92
0746.544.860,8237.42
0746.698.674,14202.16
0746.769.841,73082.82
0746.884.756,852196.7
0747.719.550,73609.78
0747.824.072,103067.60
0748.425.472,257824.11
0748.524.254,103322.62
0748.592.946,37535.08
0748.886.124,25248.02
0749.639.358,16740643.88
0749.755.362,86970.99
0749.816.235,315308.27
0750.527.008,1795.59
0750.534.332,37077.69
0750.552.544,31427.62
0750.596.787,17796.31
0750.612.526,16557
0751.513.141,165299.39
0751.599.451,327538.81
0751.611.626,7135.65
0751.812.851,96533.54
0751.849.374,36662.65
0752.727.324,481822.8
0752.774.042,1307065.77
0752.929.143,25775.77
0753.377.719,25071.25
0753.505.601,38090.20
0753.544.401,603227.57
0753.668.125,11879.62
0753.773.637,135799.97
0753.970.706,44292.54
0754.379.193,4222.14
0754.570.522,217499.75
0754.617.141,444633.42
0754.680.289,114216.83
0754.795.404,25504.61
0755.325.241,122525.99
0756.546.055,4031.9
0756.569.415,155924.52
0756.581.588,1070718.17
0756.582.281,203127.77
0757.461.221,274641.75
0757.604.741,14717.08
0757.608.404,4724.16
0757.608.602,536714.61
0757.696.395,40117
0757.707.283,197153.8
0757.726.485,25650
0757.817.448,1734793.29
0757.856.050,313211.88
0757.936.818,88813.16
0757.942.657,41593.01
0758.643.136,5787.88
0758.760.031,332086.95
0758.766.761,100810
0758.861.979,18364.89
0758.879.597,33302
0758.910.776,98902.97
0758.989.663,23278.44
0759.662.131,40262.34
0759.874.640,314232.18
0760.512.662,6643.89
0760.605.605,69925.71
0760.792.675,196182.08
0760.915.411,178718.31
0760.921.349,53160.55
0760.992.813,193591.75
0761.350.030,56061.50
0761.534.726,46094.94
0761.658.648,8721.37
0761.671.318,127769.07
0761.694.082,4902.55
0761.848.292,193036.94
0762.430.490,214703.69
0762.444.645,3392.68
0762.449.989,63152.02
0762.461.867,14730.03
0762.462.065,40058.87
0762.608.555,68529.39
0762.614.493,85061.66
0762.646.662,1521.98
0762.954.785,24224.30
0763.377.429,528791
0763.497.094,351933.02
0763.557.373,40228.85
0763.787.205,110286.97
0763.805.615,1073168.76
0763.900.734,73954.16
0763.944.977,89394.73
0763.989.024,99659.31
0763.990.806,252.2
0764.940.515,11402.36
0764.958.628,141986.69
0764.965.853,45202.13
